sein,be
haben,have
werden,become
koennen,can
muessen,must
sagen,say
machen,make
geben,give
kommen,come
sollen,should
wollen,want
gehen,go
wissen,know
sehen,see
lassen,let
stehen,stand
finden,find
bleiben,stay
liegen,lie
heißen,be called
denken,think
nehmen,take
tun,do
duerfen,may
glauben,believe
halten,stop
nennen,name
moegen,like
zeigen,show
fuehren,lead
sprechen,speak
bringen,bring
leben,live
fahren,drive
meinen,think
fragen,ask
kennen,know
gelten,be valid
stellen,place
spielen,play
arbeiten,work
brauchen,need
folgen,follow
lernen,learn
bestehen,exist
verstehen,understand
setzen,set
bekommen,get
beginnen,begin
erzählen,narrate
versuchen,try
schreiben,write
laufen,run
erklären,explain
entsprechen,correspond
sitzen,sit
ziehen,pull
scheinen,shine
fallen,fall
gehoeren,belong
entstehen,originate
erhalten,receive
treffen,meet
suchen,search
legen,lay
vorstellen,introduce
handeln,deal
erreichen,achieve
tragen,carry
schaffen,manage
lesen,read
verlieren,lose
darstellen,depict
erkennen,recognize
entwickeln,develop
reden,talk
aussehen,appear
erscheinen,appear
bilden,form
anfangen,begin
erwarten,expect
wohnen,live
betreffen,affect
warten,wait
vergehen,elapse
helfen,help
gewinnen,win
schließen,close
fuehlen,feel
bieten,offer
erinnern,remember
ergeben,result in
anbieten,offer
studieren,study
verbinden,connect
ansehen,look at
fehlen,lack
bedeuten,mean
vergleichen,compare
